17	1,6-Diasbicyclo[4.4.4]tetradecane radical cation	$\ce{DABCT^{.+} + e_{aq}^- -> DABCT}$		$1.2 \times 10^{10}$	p.r.; D.k. in N$_2$-satd. soln. contg. $1-20 \times 10^{-5}$ mol L$^{-1}$ radical cation; product analysis supported by condy. measurements.	86A272
			$\ce{DABCT^{.+} + H^{.} -> H\,abstr.}$	$\sim 1$	$3 \times 10^8$	p.r.; D.k. in soln. contg. 0.1 mol SCN$^-$ and $0.2-10 \times 10^{-1}$ mol L$^{-1}$ radical cation.	86A272
			$\ce{DABCT^{.+} + ^{\cdot}OH -> H\,abstr.}$	$\sim 4$	$8.0 \times 10^9$	p.r.; D.k. at 480 nm (as well as condy.) in N$_2$O-satd. soln. contg. $1-10 \times 10^{-5}$ mol L$^{-1}$ radical cation.	86A272
