12	Iodide Ion	$\ce{O^{\cdot -} + I^- -> OH^- + I^{\cdot}}$		$2.6 \times 10^9$	Average of 5 values.	 
				$2.1 \times 10^9$	p.r.; P.b.k. at 385 nm ($\ce{I_2^{-}}$) in 0.4 mol L$^{-1}$ OH$^-$ soln.	85A037
			alk.	$2.0 \times 10^9$	p.r.; P.b.k. at 0.58 mol L$^{-1}$ NaOH; $k = 1.9 \times 10^9$ at 1.1 mol L$^{-1}$ NaOH.	710137
				$3.3 \times 10^9$	p.r.; C.k.; rel. to $k(\ce{O^{\cdot -}} + \mathrm{MeOH})$.	710137
			alk.	$2.8 \times 10^9$	p.r.; C.k.; rel. to $k(\ce{O^{\cdot -}} + \mathrm{EtOH})$.	710137
