622	Benzene	$\ce{e_{aq}^- + PhH -> [C6H6]^{-}}$	9-11.5	$9.0 \times 10^6$	p.r.; D.k. at 720 nm in Ar-satd. soln. contg. 0.1 mol L$^{-1}$ tert-BuOH and $10^{-1}$-$10^{-2}$ mol L$^{-1}$ benzene.	85A158
			11	$7.2 \times 10^6$	p.r.; D.k. at 600 nm in soln. contg. 2 mol L$^{-1}$ tert-BuOH; $k = 9.0 \times 10^6$ in soln. without tert-BuOH.	771012
			11, 13	$1.3 \times 10^7$	p.r.; D.k. at 600 nm in Ar-satd. soln. contg. 0.8 or 2 mol L$^{-1}$ tert-BuOH or 0.6 mol L$^{-1}$ isobutanol.	741090
				$1.3 \times 10^7$	p.r.; D.k. at 600 nm; also reported $k$ in micellar solutions; $k = 1.1 \times 10^8$ in CTAB, $4 \times 10^6$ in SDS, $6 \times 10^6$ in Igepal CO-730.	710586
