862	1,1'-Dimethyl-4,4'-bipyridinium Ion	$\ce{e_{aq}^{-} + MV^{2+} -> MV^{+}}$	9.7	$6.7 \times 10^{10}$	p.r.; P.b.k. at 392.5 nm in air-free soln. contg. $10^{-5}$ mol L$^{-1}$ MV$^{2+}$ and 10$^{-3}$ mol L$^{-1}$ tert-BuOH.	82A216
			8.2	$8.3 \times 10^{10}$	p.r.; D.k. at 720 nm in air-free soln. contg. $10^{-5}$ mol L$^{-1}$ MV$^{2+}$ and $5 \times 10^{-3}$ mol L$^{-1}$ tert-BuOH.	82A216
				$5.4 \times 10^{10}$	p.r.; D.k. at 550 nm as well as p.b.k. at 395 nm in deaearted soln. contg. 0.1 mol L$^{-1}$ tert-BuOH with (2-10) $\times 10^{-6}$ mol L$^{-1}$ MVCl$_2$.	78A246
				$7.0 \times 10^{10}$	p.r.; D.k. in aerated soln.; counterion Cl$^-$.	771177
				$8.4 \times 10^{10}$	p.r.; D.k. at 700 nm; counterion Cl$^-$.	731074
