432	Samarium(III) Ion	$\ce{e_{aq}^{-} + Sm^{3+} -> Sm^{2+}}$	6.0	$2.0 \times 10^{10}$	p.r.; D.k.; perchlorate salt.	76A248
			5.6	$2.2 \times 10^{10}$	p.r.; D.k.; $k$ also detd. at 6.4 kbar $(6.4 \times 10^8~\text{N/m}^2)$; counterion $\ce{SO4^{2-}}$.	720102
			$\sim$6	$2.7 \times 10^{10}$	p.r.; D.k. in Ar-satd. soln. contg. $10^{-2}$ mol L$^{-1}$ MeOH and $4 \times 10^{-5}$ mol L$^{-1}$ $\ce{Sm2(SO4)3}$; $k$ cor. for $I$.	720065
			5.96	$2.5 \times 10^{10}$	p.r.; D.k.; counterion $\ce{SO4^{2-}}$.	640046
