1256	Nitrobenzene	$\ce{e_{aq}^{-} + C6H5NO2 -> C6H5NO2^{-}}$		$5.7 \times 10^{10}$	Average of 7 values.	
			$3.8 \times 10^{10}$	p.r.; D.k.	85A282
			$3.9 \times 10^{10}$	p.r.; D.k.	84A357
			$2.5 \times 10^{10}$	p.r.; D.k.	84A200
			$3.9 \times 10^{10}$	p.r.; D.k.	79A109
			$3.5 \times 10^{10}$	p.r.; D.k. at 600 nm.	78A131
	~8		$4.2 \times 10^{10}$	p.r.; D.k. at 720 nm in soln. contg. 0.005-0.01 mol L$^{-1}$ \emph{tert}-BuOH.	77A201
			$4.2 \times 10^{10}$	p.r.; D k ; k decreased in H$_2$O-ethanol mixtures.	731008
