343	Dihydrogen phosphate ion	$\ce{e_{aq}^{-} + H2PO4^- -> H^. + HPO4^{2-}}$	5-7	$1.9 \times 10^{7}$	p.r.; D.k. at 550 nm in soln. contg. 0.01 mol L$^{-1}$ tert-BuOH and 1 mol L$^{-1}$ phosphate; $k$ estd. from pH dependence taking $pK(\ce{H2PO4^-}) = 6.4$; above pH 8 $k_{obs} < 2 \times 10^5$ ($\ce{e_{aq}^{-}} + \ce{HPO4^{2-}}$ very slow).	86A364
			4	$1.2 \times 10^{7}$	p.r.; D.k.; $I=0.1$.	731049
			6.25	$3.1 \times 10^{6}$	X-r.; C.k.; obs. G(H$_2$) in 0.1 mol L$^{-1}$ KH$_2$PO$_4$–Na$_2$HPO$_4$ soln.; rel. to $k(\ce{e_{aq}^{-}} + \ce{Fe(CN)_6^{3-}})$.	620021
