issue,detail_id,squib,detail_index,source_url,registry_status,http_status,registry_error,updated_at,saved_path,parse_outcome
http_error_mislabeled_downloaded,1968BIE/SCH3836-3841:1,1968BIE/SCH3836-3841,1,https://kinetics.nist.gov/solution/Detail?id=1968BIE/SCH3836-3841:1,downloaded,500,,2026-07-01T07:35:07.027682+00:00,data/new_solution/boundary_probe/boundary_20260627_103328/boundary_detail_1968BIE_SCH3836-3841_1_20260627T103914_f3336a96b559.html,missing_record
http_error_mislabeled_downloaded,1968CHR465-479:7,1968CHR465-479,7,https://kinetics.nist.gov/solution/Detail?id=1968CHR465-479:7,downloaded,500,,2026-06-24T15:59:21.769275+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1968CHR465-479_7_20260624T155920_a74577fcd281.html,blank_reaction
http_error_mislabeled_downloaded,1968FEL/ZOL326:2,1968FEL/ZOL326,2,https://kinetics.nist.gov/solution/Detail?id=1968FEL/ZOL326:2,downloaded,500,,2026-06-24T16:09:51.886866+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1968FEL_ZOL326_2_20260624T160950_18df488503f2.html,blank_reaction
http_error_mislabeled_downloaded,1968LAN457-471:2,1968LAN457-471,2,https://kinetics.nist.gov/solution/Detail?id=1968LAN457-471:2,downloaded,500,,2026-06-21T06:56:40.946591+00:00,data/new_solution/boundary_probe/boundary_20260620_190527/boundary_detail_1968LAN457-471_2_20260620T190552_f90b615fa664.html,blank_reaction
http_error_mislabeled_downloaded,1968LAN457-471:3,1968LAN457-471,3,https://kinetics.nist.gov/solution/Detail?id=1968LAN457-471:3,downloaded,500,,2026-06-24T16:10:40.226310+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1968LAN457-471_3_20260624T161038_91f3de5e513f.html,blank_reaction
http_error_mislabeled_downloaded,1968WIL/CVE3668-3672:10,1968WIL/CVE3668-3672,10,https://kinetics.nist.gov/solution/Detail?id=1968WIL/CVE3668-3672:10,downloaded,500,,2026-06-21T06:56:40.946591+00:00,data/new_solution/boundary_probe/boundary_20260620_190527/boundary_detail_1968WIL_CVE3668-3672_10_20260620T190658_26ece540f631.html,blank_reaction
http_error_mislabeled_downloaded,1969ERI/CLA3997-4000:5,1969ERI/CLA3997-4000,5,https://kinetics.nist.gov/solution/Detail?id=1969ERI/CLA3997-4000:5,downloaded,500,,2026-06-24T16:08:49.313740+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1969ERI_CLA3997-4000_5_20260624T160847_c29955cdb55f.html,blank_reaction
http_error_mislabeled_downloaded,1969SIM/NET4214-4219:1,1969SIM/NET4214-4219,1,https://kinetics.nist.gov/solution/Detail?id=1969SIM/NET4214-4219:1,downloaded,500,,2026-07-01T07:50:10.415557+00:00,data/new_solution/boundary_probe/boundary_20260627_103328/boundary_detail_1969SIM_NET4214-4219_1_20260627T105833_3d37c400e155.html,missing_record
http_error_mislabeled_downloaded,1969WAL/PEA1941-1952:5,1969WAL/PEA1941-1952,5,https://kinetics.nist.gov/solution/Detail?id=1969WAL/PEA1941-1952:5,downloaded,500,,2026-06-21T06:56:40.946591+00:00,data/new_solution/boundary_probe/boundary_20260620_190527/boundary_detail_1969WAL_PEA1941-1952_5_20260620T190712_ea66d86fd041.html,blank_reaction
http_error_mislabeled_downloaded,1970AMI/TRE3670-3674:1,1970AMI/TRE3670-3674,1,https://kinetics.nist.gov/solution/Detail?id=1970AMI/TRE3670-3674:1,downloaded,500,,2026-07-02T10:14:55.118297+00:00,data/new_solution/boundary_probe/boundary_20260627_103328/boundary_detail_1970AMI_TRE3670-3674_1_20260627T110605_98776ada87ba.html,missing_record
http_error_mislabeled_downloaded,1970AMI/TRE3670-3674:8,1970AMI/TRE3670-3674,8,https://kinetics.nist.gov/solution/Detail?id=1970AMI/TRE3670-3674:8,downloaded,500,,2026-07-02T10:14:55.097292+00:00,data/nist_solution/archive/squib_bibliography_robin/squib_robin_1970ami_tre3670-3674_20260630T120056Z/detail_rr_20260702T101454_da3d1ef01317.html,missing_record
http_error_mislabeled_downloaded,1970BAR/FOW1509-1519:1,1970BAR/FOW1509-1519,1,https://kinetics.nist.gov/solution/Detail?id=1970BAR/FOW1509-1519:1,downloaded,502,,2026-06-21T06:56:40.946591+00:00,data/new_solution/hole_probe/holes_20260620_180343/hole_detail_1970BAR_FOW1509-1519_1_20260620T180501_73b801fa13cb.html,blank_reaction
http_error_mislabeled_downloaded,1970BUR/GIN1232-1238:2,1970BUR/GIN1232-1238,2,https://kinetics.nist.gov/solution/Detail?id=1970BUR/GIN1232-1238:2,downloaded,500,,2026-06-24T16:00:37.761714+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1970BUR_GIN1232-1238_2_20260624T160035_6ac5ca40ea11.html,blank_reaction
http_error_mislabeled_downloaded,1970KRA59-68:6,1970KRA59-68,6,https://kinetics.nist.gov/solution/Detail?id=1970KRA59-68:6,downloaded,500,,2026-06-24T16:11:04.229414+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1970KRA59-68_6_20260624T161102_00402438d34e.html,blank_reaction
http_error_mislabeled_downloaded,1970LAN/SWA1890-1894:3,1970LAN/SWA1890-1894,3,https://kinetics.nist.gov/solution/Detail?id=1970LAN/SWA1890-1894:3,downloaded,500,,2026-06-30T15:20:46.805106+00:00,data/nist_solution/archive/ch3oh_20260525T160930Z/detail_rr_20260611T064200_19fd9e42f814.html,blank_reaction
http_error_mislabeled_downloaded,1970RAZ284-290:6,1970RAZ284-290,6,https://kinetics.nist.gov/solution/Detail?id=1970RAZ284-290:6,downloaded,500,,2026-06-30T12:36:02.484345+00:00,data/nist_solution/archive/o3_20260522T072802Z/detail_rr_20260608T070934_0887df3e1bb7.html,blank_reaction
http_error_mislabeled_downloaded,1971BAR/GIL2177-2181:1,1971BAR/GIL2177-2181,1,https://kinetics.nist.gov/solution/Detail?id=1971BAR/GIL2177-2181:1,downloaded,500,,2026-07-01T08:45:40.893667+00:00,data/new_solution/boundary_probe/boundary_20260627_103328/boundary_detail_1971BAR_GIL2177-2181_1_20260627T104039_7c1d9b5fe6b4.html,missing_record
http_error_mislabeled_downloaded,1971BAX/MUL823-830:3,1971BAX/MUL823-830,3,https://kinetics.nist.gov/solution/Detail?id=1971BAX/MUL823-830:3,downloaded,500,,2026-06-24T16:02:40.808348+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1971BAX_MUL823-830_3_20260624T160238_52167d89ad68.html,blank_reaction
