1058	Phenylalanine	$\ce{.OH + Phe -> PheOH}$		$6.5 \times 10^{9}$	Average of 5 values.	
			7-8	$6.9 \times 10^{9}$	p.r.; P.b.k.; 50\% ortho-adduct, 30\% para-adduct, 14\% meta-adduct	85A183
			5.8	$6.6 \times 10^{9}$	p.r.; P.b.k. at 318 nm.	761202
			nat.	$6.8 \times 10^{9}$	p.r.; C.k.; rel. to $k$(\ce{.OH + Fe(CN)$_6^{4-}$}).	710578
			nat.	$6.6 \times 10^{9}$	p.r.; P.b.k. at 300 nm.	710578
			5.5-6	$5.8 \times 10^{9}$	p.r.; C.k.; $pK_a = 2.16, 9.18$; at pH 2-2.2 $k = 5.7 \times 10^{9}$; rel. to $k$(\ce{.OH + SCN$^-$}).	650388
