954	2-Methyl-2-propanol	$\ce{.OH + (CH_3)_3COH -> H_2O + .CH_2C(CH_3)_2OH\ (95.7\%) + (CH_3)_3CO. (4.3\%)}$		$6.0 \times 10^8$	Selected value. p.r.; C.k.; also measurements at 39, 59, and 79$^\circ$C; rel. to $k(.OH + \ce{Fe(CN)_6^{4-}})$.	84A349
			$6.6 \times 10^8$	p.r.; C.k.; obs. ABTS$^+$ formn. at 415 nm; rel. to $k(.OH + \ce{ABTS})$.	82A196
	6			$6.0 \times 10^8$	p.r.; D.k. at 280 nm (OH); 0.5–2 mol L$^{-1}$ tert-BuOH.	771012
	7			$7.6 \times 10^8$		
	nat.			$5.9 \times 10^8$	p.r.; C.k.; rel. to $k(.OH + \ce{Fe(CN)_6^{4-}})$.	710578
	7			$4.2 \times 10^8$	p.r.; C.k.; rel. to $k(.OH + \ce{SCN^-})$.	650387
