133	Nitrite Ion	$\ce{.OH + NO2^- -> .NO2 + OH^-}$		$1.0 \times 10^{10}$	Average of 6 values.	 
			acid	$1.1 \times 10^{10}$	p.r.; C.k. (condy.); rel. to $k'(.OH + MeOH)$.	700254
			alk.	$9.1 \times 10^{9}$	p.r.; C.k. (condy.); rel. to $k'(.OH + MeOH)$.	700254
			$>12$	$1.4 \times 10^{10}$	f.p.; C.k.; obs. dependence of $O_3^-$ decay rate on $[OH^-]$ and $[NO_2^-]$; $k'(.OH + NO_2^-)/k'(.O^- + NO_2^-)=40$; rel. to $k'(.O^- + O_2)$ = $3.6 \times 10^9$; ratio $= 4.0 \pm 0.4$.	707264
			11	$8.0 \times 10^{9}$	p.r.; C.k.; calcd. from measurements at pH 11 and 13; rel. to $k'(.OH + CO_3^{2-})$.	690379
			10.7	$7.0 \times 10^{9}$	p.r.; C.k.; rel. to $k'(.OH + CO_3^{2-})$.	650190
				$1.2 \times 10^{10}$	p.r.; C.k. in $O_2$-satd. soln. contg. $0.04~mol~L^{-1}~Na_2CO_3^{--}$; rel. to $k'(.OH + CO_3^{2-})$.	640131
