805	α-Hydroxy-2,5,7,8-tetramethylchroman-2-carboxylate Ion	$\ce{.OH + HTC.CO2- ->}$		$8 \times 10^{10\,b}$	p.r.; C.k.; obs. DCIP transient at 610 nm; $k = 6 \times 10^{10}$ when DCIP transient was obs. at 455 nm; rel. to $k(\ce{.OH + DCIP})$.	83A387
				$4.0 \times 10^{10\,b}$	p.r.; C.k.; soln. contains $5 \times 10^{-3}$ mol L$^{-1}$ acetonitrile; $k = 3.9 \times 10^{10}$ with $2 \times 10^{-3}$ mol L$^{-1}$ acetonitrile; rel. to $k(\ce{.OH + tert-BuOH})$.	83A387
		6.9	$2 \times 10^{10\,b}$	p.r.; C.k.; rel. to $k(\ce{.OH + SCN-})$.	82N221
